Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,left_button,right_button,advice,orderno,trialno,ShowProgressBar,image,prob_blue_corr,prob_group_corr,corr_ans,group_corr,group_choice,blue_pos,indiv_vol,soc_vol,ITI_1,ITI_2,ITI_3,ITI_4,condition
157,1.72106E+12,15/07/2024 15:44,1.72106E+12,1,15/07/2024 16:44,183183,5,task-cj2d,,38979086,4,11344871,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1792x1120,1792x955,,,,SLS,2,schedule_A,schedule_A,32,19,4,feedback_l,Zone7,timelimit_screen,2001,,,,,0,1,0,,,1,,,trial_right,redBox.png,redBox.png,yellowBox.png,al1_con.png,62,31,,,0.85,0.15,1,0,0,1,Stable,Volatile,2.538,1.672,1.143,1.555,expert
158,1.72106E+12,15/07/2024 15:44,1.72106E+12,1,15/07/2024 16:44,183183,5,task-cj2d,,38979086,4,11344871,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1792x1120,1792x955,,,,SLS,2,schedule_A,schedule_A,32,19,6,end,Zone1,timelimit_screen,149.40000000002328,,,,,0,1,0,,,1,,,trial_right,redBox.png,redBox.png,yellowBox.png,al1_con.png,62,31,,,0.85,0.15,1,0,0,1,Stable,Volatile,2.538,1.672,1.143,1.555,expert
159,1.72106E+12,15/07/2024 15:44,1.72106E+12,1,15/07/2024 16:44,183183,5,task-cj2d,,38979086,4,11344871,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1792x1120,1792x955,,,,SLS,2,schedule_A,schedule_A,33,13,1,Screen 1,Zone1,continue_button,731.3999999910593,,,,,0,1,0,,,,,,trial_left,redBox.png,yellowBox.png,redBox.png,al1_con.png,63,32,,,0.85,0.15,1,0,0,0,Stable,Volatile,2.739,1.13,0.815,1.387,expert
160,1.72106E+12,15/07/2024 15:44,1.72106E+12,1,15/07/2024 16:44,183183,5,task-cj2d,,38979086,4,11344871,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1792x1120,1792x955,,,,SLS,2,schedule_A,schedule_A,33,13,2,individual,Zone4,timelimit_screen,1000,,,,,0,1,0,,,1,,,trial_left,redBox.png,yellowBox.png,redBox.png,al1_con.png,63,32,,,0.85,0.15,1,0,0,0,Stable,Volatile,2.739,1.13,0.815,1.387,expert
161,1.72106E+12,15/07/2024 15:44,1.72106E+12,1,15/07/2024 16:44,183183,5,task-cj2d,,38979086,4,11344871,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1792x1120,1792x955,,,,SLS,2,schedule_A,schedule_A,33,13,3,offer,Zone2,response_button_image,1782.8999999910593,,,yellowBox.png,1,0,1,0,,,,,,trial_left,redBox.png,yellowBox.png,redBox.png,al1_con.png,63,32,,,0.85,0.15,1,0,0,0,Stable,Volatile,2.739,1.13,0.815,1.387,expert
162,1.72106E+12,15/07/2024 15:44,1.72106E+12,1,15/07/2024 16:44,183183,5,task-cj2d,,38979086,4,11344871,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1792x1120,1792x955,,,,SLS,2,schedule_A,schedule_A,33,13,4,feedback_l,Zone7,timelimit_screen,1999.7999999999884,,,,,0,1,0,,,1,,,trial_left,redBox.png,yellowBox.png,redBox.png,al1_con.png,63,32,,,0.85,0.15,1,0,0,0,Stable,Volatile,2.739,1.13,0.815,1.387,expert
163,1.72106E+12,15/07/2024 15:44,1.72106E+12,1,15/07/2024 16:44,183183,5,task-cj2d,,38979086,4,11344871,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1792x1120,1792x955,,,,SLS,2,schedule_A,schedule_A,33,13,6,end,Zone1,timelimit_screen,149.29999999998836,,,,,0,1,0,,,1,,,trial_left,redBox.png,yellowBox.png,redBox.png,al1_con.png,63,32,,,0.85,0.15,1,0,0,0,Stable,Volatile,2.739,1.13,0.815,1.387,expert
164,1.72106E+12,15/07/2024 15:44,1.72106E+12,1,15/07/2024 16:44,183183,5,task-cj2d,,38979086,4,11344871,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1792x1120,1792x955,,,,SLS,2,schedule_A,schedule_A,34,20,1,Screen 1,Zone1,continue_button,1705.7000000029802,,,,,0,1,0,,,,,,trial_right,redBox.png,redBox.png,yellowBox.png,al1_con.png,64,33,,,0.85,0.15,1,0,0,1,Stable,Volatile,3.672,0.828,0.513,2.059,expert
165,1.72106E+12,15/07/2024 15:44,1.72106E+12,1,15/07/2024 16:44,183183,5,task-cj2d,,38979086,4,11344871,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1792x1120,1792x955,,,,SLS,2,schedule_A,schedule_A,34,20,2,individual,Zone4,timelimit_screen,1000,,,,,0,1,0,,,1,,,trial_right,redBox.png,redBox.png,yellowBox.png,al1_con.png,64,33,,,0.85,0.15,1,0,0,1,Stable,Volatile,3.672,0.828,0.513,2.059,expert
166,1.72106E+12,15/07/2024 15:44,1.72106E+12,1,15/07/2024 16:44,183183,5,task-cj2d,,38979086,4,11344871,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1792x1120,1792x955,,,,SLS,2,schedule_A,schedule_A,34,20,3,offer,Zone3,response_button_image,1186.9000000059605,,,yellowBox.png,1,0,1,0,,,,,,trial_right,redBox.png,redBox.png,yellowBox.png,al1_con.png,64,33,,,0.85,0.15,1,0,0,1,Stable,Volatile,3.672,0.828,0.513,2.059,expert
